,Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Period_cited_in_text,Level_context,Materials_notes,Class,Text2
505,104-025-X,9,09,66,-6.4,Late II,Tools,Large Cone,"Cream-coloured, cherty limestone. Badly chipped and fractured. Surface soemwhat roughly finished and shows signs of the use of an abrasive  on it, though there was no attempt at polish. Its flat base shows no particular wear, and this may very possibly have been a linqa.",Artefacts,,,,Craft,"Cream-coloured, cherty limestone. Badly chipped and<br>fractured. Surface soemwhat roughly finished and<br>shows signs of the use of<br>an abrasive  on it, though<br>there was no attempt at polish.<br>Its flat base shows no particular<br>wear, and this may very possibly<br>have been a linqa."
509,139-013-X,7,02,92,-13.3,Intermediate II,Personal Ornament,Button,White steatite (?) The usual two converging holes. ,Artefacts,,,,Domestic,White steatite (?) The usual two<br>converging holes. 
511,140-044-X,7,05,62,-6.4,Late II,Personal Ornament,Button,"Blue faienece. Obverse rounded with slight projection in centre, reverse flat, with two converging holes. ",Artefacts,,,,Domestic,"Blue faienece. Obverse rounded with slight<br>projection in centre, reverse flat, with<br>two converging holes. "
517,108-006-X,9,06,34,-15.4,Intermediate II,Tools,Small cone,"Though unfinished, there are slight traces of wear at the point. ",Artefacts,,,,Craft,"Though unfinished, there are slight traces<br>of wear at the point. "
518,104-026-X,9,07,18,-4.8,Late Ib,Tools,Pedestal,"Comparatively soft, dark red stone. The base of this pedestal is flat and semi-polished, with two holes in it, each 1.15"", from the edge and an average of 0.25"" in diameter and 0.4"" deep. A depression which is 2.45"" in diameter and 0.3"" deep in the top. ",Artefacts,,,,Craft,"Comparatively soft, dark red stone. The<br>base of this pedestal is flat<br>and semi-polished, with two holes in<br>it, each 1.15"", from the edge<br>and an average of 0.25"" in<br>diameter and 0.4"" deep. A depression<br>which is 2.45"" in diameter and<br>0.3"" deep in the top. "
522,070-008-X,4,00,12,-12.7,Intermediate I,Pottery - Incised and Painted,,,Artefacts,,,,Other,Not Available
523,054-014-X,9,08,15,-10.7,Intermediate I,Tools,Flesh-rubber,"Light red  paste, plentifully mixed with lime and an unusually large proportion of sand to make it rough and gritty. A vent-hole at one end.",Artefacts,,,,Craft,"Light red  paste, plentifully mixed<br>with lime and an unusually large<br>proportion of sand to make it<br>rough and gritty. A vent-hole at<br>one end."
524,105-041-X,9,08,15,-8.9,Late III,Tools,Spindle-whorls,Shell. The obverse is weathered and now shows no signs of polish. The reverse is concave in places owing to the natural curature of the shell. ,Artefacts,,,,Craft,Shell. The obverse is weathered and<br>now shows no signs of polish.<br>The reverse is concave in places<br>owing to the natural curature of<br>the shell. 
528,106-022-X,9,01,50,-3.4,Late Ib,Tools,Spindle-whorls,Vitreous paste; apple-green in colour. Ornamented with shallow flutings. ,Artefacts,,,,Craft,Vitreous paste; apple-green in colour. Ornamented<br>with shallow flutings. 
534,109-017-X,7,08,26,-25.0,Early Periods,Tools,Whestones,LIght grey stone resembling slate. Thinner end missing. ,Artefacts,,,,Craft,LIght grey stone resembling slate. Thinner<br>end missing. 
535,109-039-X,10,03,67,-16.8,Intermediate III,Cooking Baking Utensils,Wavy Ring,"Alabaster. Hole through centre. THe top and bottom of this ring had been quartered by two deep cuts, and the edges of the projections so formed were neatly rounded off. Slightly weathered. ",Artefacts,,,,Domestic,"Alabaster. Hole through centre. THe top<br>and bottom of this ring had<br>been quartered by two deep cuts,<br>and the edges of the projections<br>so formed were neatly rounded off.<br>Slightly weathered. "
536,076-007-X,7,01,14,-30.0,Early Periods,Human Figure,Figurine,"Pottery, with a red slip. Seated figure of a woman wearing a high, tight neckleace, a fillet round the forehead, and apparently long hanging earings-unless these last are ornaments suspended from the fan-shaped head-dress. The size of the head and neck is out of all proportion to the shapeless body. The base of the figure is slightly rounded, but it stands well nevertheless and may have been used in a board game.",Artefacts,,,,Domestic,"Pottery, with a red slip. Seated<br>figure of a woman wearing a<br>high, tight neckleace, a fillet round<br>the forehead, and apparently long hanging<br>earings-unless these last are ornaments suspended<br>from the fan-shaped head-dress. The size<br>of the head and neck is<br>out of all proportion to the<br>shapeless body. The base of the<br>figure is slightly rounded, but it<br>stands well nevertheless and may have<br>been used in a board game."
537,109-046-X,9,06,,-20.4,[check data],Tools,Spindle-whorls,Hole in the centre. Somewhat roughly made and cut. The obverse is decorated as seen in the photo; the reverse is quite plain. ,Artefacts,,,,Craft,Hole in the centre. Somewhat roughly<br>made and cut. The obverse is<br>decorated as seen in the photo;<br>the reverse is quite plain. 
540,105-046-X,9,03,30,-4.5,Late Ib,Tools,Spindle-whorls(?),"Light red pottery. Three holes in a line, groove round the edge. Hand-made; smooth domed top and slightly concave base. ",Artefacts,,,,Craft,"Light red pottery. Three holes in<br>a line, groove round the edge.<br>Hand-made; smooth domed top and slightly<br>concave base. "
549,108-005-X,7,03,43,-13.0,Intermediate II,Tools,Small cone,"Tip broken, but otherwise the cone shows no evidence of wear. ",Artefacts,,,,Craft,"Tip broken, but otherwise the cone<br>shows no evidence of wear. "
550,105-033-X,9,09,63,-8.4,Late III,Tools,Bobbin,"LIght yellow steatite. There is a deep groove, V-shaped in section, round the circumference. THis well-made object may possibly have been used as a bobbin, though in many respects it strongly resembles a sheave. It is, however, too small and made of too soft a stone for the latter purpose. ",Artefacts,,,,Craft,"LIght yellow steatite. There is a<br>deep groove, V-shaped in section, round<br>the circumference. THis well-made object may<br>possibly have been used as a<br>bobbin, though in many respects it<br>strongly resembles a sheave. It is,<br>however, too small and made of<br>too soft a stone for the<br>latter purpose. "
551,080-002-X,10,03,,-17.4,Intermediate III,Animals,Model animal,"Pottery, with a red slip. Carefully made figure of a monkey sqautting with hands on knees. Two vertical holes in the top fo the head could not have been intended to take separately-made ears as they are too high up. Another hole of about the same diamter, close behind the head, pierces the figure form top to bottom, and may have been intended.",Artefacts,,,,Domestic,"Pottery, with a red slip. Carefully<br>made figure of a monkey sqautting<br>with hands on knees. Two vertical<br>holes in the top fo the<br>head could not have been intended<br>to take separately-made ears as they<br>are too high up. Another hole<br>of about the same diamter, close<br>behind the head, pierces the figure<br>form top to bottom, and may<br>have been intended."
553,109-009-X,10,04,71,-18.2,Intermediate III,Tools,Awl,Bone Blunt end irregular and flattened Tip of fine point missing. Shows the polish of much use. ,Artefacts,,,,Craft,Bone Blunt end irregular and flattened<br>Tip of fine point missing. Shows<br>the polish of much use. 
557,104-022-X,7,03,52,-3.5,Late Ib,Tools,Pedestal,"A brownish-yellow, semi-hard stone. The depression in the top was first cut with a tubular drill, the spaces between the holes being removed subsequently with a chisel. The sides of the stand from the base to the top horizontally fluted and this ornamentation, thgouh not entirely accurate, nevertheless carefully done. ",Artefacts,,,,Craft,"A brownish-yellow, semi-hard stone. The depression<br>in the top was first cut<br>with a tubular drill, the spaces<br>between the holes being removed subsequently<br>with a chisel. The sides of<br>the stand from the base to<br>the top horizontally fluted and this<br>ornamentation, thgouh not entirely accurate, nevertheless<br>carefully done. "
559,105-010-X,9,12,93,-11.9,Intermediate I,Tools,Awl,"Bone. Roughly rectangular in section, measuring 0.54"" * 0.22"" at the thickest part. Comparatively blunt point showing evidence of much use. ",Artefacts,,,,Craft,"Bone. Roughly rectangular in section, measuring<br>0.54"" * 0.22"" at the thickest<br>part. Comparatively blunt point showing evidence<br>of much use. "
567,054-012-X,7,04,72,-7.7,Late III,Tools,Candle-stick,"Pottery candle-stick. Made of the usual pink ware with a heavy admixture of sand, mica and lime, but no slip, and is very thick and heavy in make with its flat broad base carefully trimmed. The vertical hole running right through the susbstantial candle-holder in the centre also pierces the base of the stand. Unfortunately, the upper part of the candle-holder is missng and we do not know its shpe; but in its present state the holder still projects above the rim of the dish. ",Artefacts,,,,Craft,"Pottery candle-stick. Made of the usual<br>pink ware with a heavy admixture<br>of sand, mica and lime, but<br>no slip, and is very thick<br>and heavy in make with its<br>flat broad base carefully trimmed. The<br>vertical hole running right through the<br>susbstantial candle-holder in the centre also<br>pierces the base of the stand.<br>Unfortunately, the upper part of the<br>candle-holder is missng and we do<br>not know its shpe; but in<br>its present state the holder still<br>projects above the rim of the<br>dish. "
568,105-006-X,9,09,56,-6.4,Late II,Weights And Measures,Spherical with flattened top and base,"Cream-coloured, cherty limestone. This weight is spherodial with a flat top and base which gradually merge at their edges into the rounded sides. Wall made and finished, smooth but unpolished; in an excellent state of perservation exept for one or two abrasions which affect its weight but little. The holes in it are natural and must have existed when the weight was made. ",Artefacts,,,,Trade,"Cream-coloured, cherty limestone. This weight is<br>spherodial with a flat top and<br>base which gradually merge at their<br>edges into the rounded sides. Wall<br>made and finished, smooth but unpolished;<br>in an excellent state of perservation<br>exept for one or two abrasions<br>which affect its weight but little.<br>The holes in it are natural<br>and must have existed when the<br>weight was made. "
577,111-052-X,9,00,,-20.6,Early Periods,Beads,,,Artefacts,,,,Trade,Not Available
578,136-022-X,9,12,92,-6.3,Late II,Beads,,,Artefacts,,,,Trade,Not Available
579,105-049-X,7,08,25,-10.9,Intermediate I,Tools,Spindle-whorls,"Vitreous paste; turquoise-blue in colour. Both ends vary slightly convex, with a slight projection to ornament the obverse. ",Artefacts,,,,Craft,"Vitreous paste; turquoise-blue in colour. Both<br>ends vary slightly convex, with a<br>slight projection to ornament the obverse.<br>"
582,136-023-X,9,06,36,-5.8,Late II,Beads,,,Artefacts,,,,Trade,Not Available
586,136-024-X,9,10,33,-9.3,Late III,Beads,,,Artefacts,,,,Trade,Not Available
588,109-055-X,7,05,78,-12.9,Intermediate I,Tools,Spindle-whorls,Shell. Upper surface carefully polished; under surface slightly concave and in places follows the natural curvature of the shell. ,Artefacts,,,,Craft,Shell. Upper surface carefully polished; under<br>surface slightly concave and in places<br>follows the natural curvature of the<br>shell. 
592,136-029-X,9,03,29,-1.8,Late Ia,Beads,,,Artefacts,,,,Trade,Not Available
594,109-052-X,10,04,73,-13.6,Intermediate II,Tools,Spindle-whorls(?),Pottery; heavily fired and now grey-brown in colour. Flat base and domed top.,Artefacts,,,,Craft,Pottery; heavily fired and now grey-brown<br>in colour. Flat base and domed<br>top.
